brandName,brandImg
굽네치킨,https://contents.lotteon.com/search/brand/P7/22/8/P7228_320_320.jpg/dims/optimize/dims/resize/400x400
엔제리너스,https://contents.lotteon.com/search/brand/P3/04/8/P3048_320_320.jpg/dims/optimize/dims/resize/400x400
롯데마트,https://contents.lotteon.com/search/brand/P1/05/5/P1055_320_320.jpg/dims/optimize/dims/resize/400x400
컴포즈커피,https://contents.lotteon.com/search/brand/P4/00/83/P40083_320_320.jpg/dims/optimize/dims/resize/400x400
또래오래,https://contents.lotteon.com/search/brand/P1/98/31/P19831_320_320.jpg/dims/optimize/dims/resize/400x400
CGV,https://contents.lotteon.com/search/brand/P9/33/6/P9336_320_320.jpg/dims/optimize/dims/resize/400x400
공차,https://contents.lotteon.com/search/brand/P8/90/8/P8908_320_320.jpg/dims/optimize/dims/resize/400x400
GS칼텍스,https://contents.lotteon.com/search/brand/P7/46/3/P7463_320_320.jpg/dims/optimize/dims/resize/400x400
SK,https://mediask.co.kr/wp-content/uploads/2021/11/%EB%B3%B4%EC%A1%B0.png
CJ,https://images.squarespace-cdn.com/content/v1/5b35dd4b36099b1e5fe89dfb/1533108769853-7KCLCJLUTPBSE8VGLW6T/CJ.jpg?format=1000w
현대,https://m.giftishow.com/Resource/brand//BR_FRONT_20171213__164647_banner_mobile_img.jpg
삼성,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Samsung_Logo.svg/2560px-Samsung_Logo.svg.png
롯데멤버스,https://teamblindstatics.s3.ap-northeast-1.amazonaws.com/img/companyPage/logo_e10f97e6470246.jpeg
CJ푸드빌,https://s3.ap-northeast-2.amazonaws.com/media.linkareer.com/activity_manager/thumbnail/2017-08-03123343f2017-08-031232559047580_CJ%ED%91%B8%EB%93%9C%EB%B9%8C_thumbnail
KTshop,https://mblogthumb-phinf.pstatic.net/MjAxODAyMTBfMTQ0/MDAxNTE4MjM1MjkyOTU0.PGXzag9knMdgiAxqs5GcKRNfHPNZmtWgsBqtYVxfHksg.X1kdaVSQjYPDZL_T9E5OvA3gyypBz_4nws0uZZzu5YUg.JPEG.whwndud7/KT_03.jpg?type=w2
카카오T,https://img1.daumcdn.net/thumb/R1280x0/?fname=http://t1.daumcdn.net/brunch/service/user/aoQM/image/gTCHK48FeHjP05bq8x9t3L1gXs4.png
GSTHEFRESH,https://image.newdaily.co.kr/site/data/img/2022/08/11/2022081100048_0.jpg
GSSHOP,https://image.happymoney.co.kr/extimage/useStore/1518079335602.jpg
